State,Action,Q-Value
"((5, 0), 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'b', 'e', 'e')",L,-29.7
"((5, 0), 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'b', 'e', 'e')",R,-29.7
"((5, 0), 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'b', 'e', 'e')",P,0.0
"((5, 0), 'e', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e')",L,9.999999999999977
"((5, 0), 'e', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e')",R,0.0
"((5, 0), 'e', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e')",P,0.0
"((5, 1), 'e', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e')",L,0.0
"((5, 1), 'e', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e')",R,0.0
"((5, 1), 'e', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e')",P,0.0
"((5, 0), 'e', 'b', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'e', 'e', 'e', 'e')",L,9.999999999999977
"((5, 0), 'e', 'b', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'e', 'e', 'e', 'e')",R,0.0
"((5, 0), 'e', 'b', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'e', 'e', 'e', 'e')",P,0.0
"((5, 0), 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'e')",L,-7.0472475248999995
"((5, 0), 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'e')",R,9.999999999999977
"((5, 0), 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'e')",P,0.0
"((5, 0), 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'b', 'e', 'e')",L,-29.7
"((5, 0), 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'b', 'e', 'e')",R,-29.7
"((5, 0), 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'b', 'e', 'e')",P,-29.7
"((5, 0), 'e', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e')",L,9.999999999999977
"((5, 0), 'e', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e')",R,0.0
"((5, 0), 'e', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e')",P,0.0
"((5, 0), 'b', 'e', 'e', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'b', 'e', 'e')",L,-29.7
"((5, 0), 'b', 'e', 'e', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'b', 'e', 'e')",R,-29.7
"((5, 0), 'b', 'e', 'e', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'b', 'e', 'e')",P,-29.619
"((5, 0), 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e')",L,9.999999999999977
"((5, 0), 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e')",R,0.0
"((5, 0), 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e')",P,0.0
"((5, 0), 'e', 'b', 'e', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'b', 'e', 'e')",L,-50.489999999999995
"((5, 0), 'e', 'b', 'e', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'b', 'e', 'e')",R,-29.7
"((5, 0), 'e', 'b', 'e', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'b', 'e', 'e')",P,-29.7
"((5, 0), 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e')",L,9.999999999999977
"((5, 0), 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e')",R,0.0
"((5, 0), 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e')",P,0.0
"((5, 0), 'e', 'b', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'e', 'b', 'e', 'e')",L,-29.522609999999997
"((5, 0), 'e', 'b', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'e', 'b', 'e', 'e')",R,-29.7
"((5, 0), 'e', 'b', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'e', 'b', 'e', 'e')",P,-29.452235661
"((5, 1), 'b', 'e', 'e', 'e', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'b', 'e', 'e')",L,-29.7
"((5, 1), 'b', 'e', 'e', 'e', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'b', 'e', 'e')",R,9.999999999999977
"((5, 1), 'b', 'e', 'e', 'e', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'b', 'e', 'e')",P,0.0
"((5, 0), 'e', 'e', 'b', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'e', 'b', 'e', 'e')",L,-29.619
"((5, 0), 'e', 'e', 'b', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'e', 'b', 'e', 'e')",R,-29.7
"((5, 0), 'e', 'e', 'b', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'e', 'b', 'e', 'e')",P,-29.494827
"((5, 1), 'e', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e')",L,0.0
"((5, 1), 'e', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e')",R,0.0
"((5, 1), 'e', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e')",P,0.0
"((5, 1), 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'b', 'e', 'e')",L,-29.7
"((5, 1), 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'b', 'e', 'e')",R,9.999999999999977
"((5, 1), 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'b', 'e', 'e')",P,0.0
"((5, 1), 'e', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'e')",L,0.0
"((5, 1), 'e', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'e')",R,0.0
"((5, 1), 'e', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'e')",P,0.0
"((5, 1), 'e', 'b', 'e', 'e', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'b', 'e', 'e')",L,-29.7
"((5, 1), 'e', 'b', 'e', 'e', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'b', 'e', 'e')",R,9.999999999999977
"((5, 1), 'e', 'b', 'e', 'e', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'b', 'e', 'e')",P,0.0
"((5, 0), 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e')",L,9.999999999999977
"((5, 0), 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e')",R,0.0
"((5, 0), 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e')",P,0.0
"((5, 2), 'e', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e')",L,9.999999999999977
"((5, 2), 'e', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e')",R,0.0
"((5, 2), 'e', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e')",P,0.0
"((5, 1), 'e', 'b', 'e', 'e', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'e', 'b')",L,9.999999999999977
"((5, 1), 'e', 'b', 'e', 'e', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'e', 'b')",R,0.0
"((5, 1), 'e', 'b', 'e', 'e', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'e', 'b')",P,0.0
"((5, 0), 'b', 'e', 'e', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'e', 'e', 'b')",L,9.999999999999977
"((5, 0), 'b', 'e', 'e', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'e', 'e', 'b')",R,0.0
"((5, 0), 'b', 'e', 'e', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'e', 'e', 'b')",P,0.0
"((5, 0), 'b', 'e', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'e', 'e', 'b', 'e')",L,9.999999999999977
"((5, 0), 'b', 'e', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'e', 'e', 'b', 'e')",R,0.0
"((5, 0), 'b', 'e', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'e', 'e', 'b', 'e')",P,0.0
"((5, 1), 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e')",L,0.0
"((5, 1), 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e')",R,0.0
"((5, 1), 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e')",P,0.0
"((5, 1), 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'e')",L,0.0
"((5, 1), 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'e')",R,0.0
"((5, 1), 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'e')",P,0.0
"((5, 1), 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e')",L,0.0
"((5, 1), 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e')",R,0.0
"((5, 1), 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e')",P,0.0
"((5, 2), 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e')",L,9.999999999999977
"((5, 2), 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e')",R,0.0
"((5, 2), 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e')",P,0.0
"((5, 1), 'e', 'e', 'b', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'e', 'e', 'e', 'b')",L,9.999999999999977
"((5, 1), 'e', 'e', 'b', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'e', 'e', 'e', 'b')",R,0.0
"((5, 1), 'e', 'e', 'b', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'e', 'e', 'e', 'b')",P,0.0
"((5, 1), 'b', 'e', 'e', 'e', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'e', 'b')",L,9.999999999999977
"((5, 1), 'b', 'e', 'e', 'e', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'e', 'b')",R,0.0
"((5, 1), 'b', 'e', 'e', 'e', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'e', 'b')",P,0.0
"((5, 0), 'e', 'e', 'b', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'e', 'e', 'e', 'b')",L,9.999999999999977
"((5, 0), 'e', 'e', 'b', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'e', 'e', 'e', 'b')",R,0.0
"((5, 0), 'e', 'e', 'b', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'e', 'e', 'e', 'b')",P,0.0
"((5, 2), 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e')",L,9.999999999999977
"((5, 2), 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e')",R,0.0
"((5, 2), 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e')",P,0.0
"((5, 1), 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'e', 'e', 'b')",L,9.999999999999977
"((5, 1), 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'e', 'e', 'b')",R,0.0
"((5, 1), 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'e', 'e', 'b')",P,0.0
"((5, 0), 'b', 'e', 'e', 'e', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'b', 'e')",L,9.999999999999977
"((5, 0), 'b', 'e', 'e', 'e', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'b', 'e')",R,0.0
"((5, 0), 'b', 'e', 'e', 'e', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'b', 'e')",P,0.0
"((5, 0), 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'e', 'e', 'b')",L,9.999999999999977
"((5, 0), 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'e', 'e', 'b')",R,0.0
"((5, 0), 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'e', 'e', 'b')",P,0.0
"((5, 0), 'e', 'b', 'e', 'e', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'b', 'e')",L,9.999999999999977
"((5, 0), 'e', 'b', 'e', 'e', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'b', 'e')",R,0.0
"((5, 0), 'e', 'b', 'e', 'e', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'b', 'e')",P,0.0
"((5, 0), 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'b', 'e')",L,9.999999999999977
"((5, 0), 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'b', 'e')",R,0.0
"((5, 0), 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'b', 'e')",P,0.0
"((5, 0), 'b', 'e', 'e', 'e', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'e', 'b')",L,9.999999999999977
"((5, 0), 'b', 'e', 'e', 'e', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'e', 'b')",R,0.0
"((5, 0), 'b', 'e', 'e', 'e', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'e', 'b')",P,0.0
"((5, 0), 'b', 'e', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'e', 'e', 'e', 'b')",L,9.999999999999977
"((5, 0), 'b', 'e', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'e', 'e', 'e', 'b')",R,0.0
"((5, 0), 'b', 'e', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'e', 'e', 'e', 'b')",P,0.0
"((5, 1), 'b', 'e', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'e', 'e', 'e', 'b')",L,9.999999999999977
"((5, 1), 'b', 'e', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'e', 'e', 'e', 'b')",R,0.0
"((5, 1), 'b', 'e', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'e', 'e', 'e', 'b')",P,0.0
"((5, 1), 'e', 'b', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'e', 'b', 'e', 'e')",L,-29.7
"((5, 1), 'e', 'b', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'e', 'b', 'e', 'e')",R,9.999999999999977
"((5, 1), 'e', 'b', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'e', 'b', 'e', 'e')",P,0.0
"((5, 1), 'b', 'e', 'e', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'b', 'e', 'e')",L,-29.619
"((5, 1), 'b', 'e', 'e', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'b', 'e', 'e')",R,9.999999999999977
"((5, 1), 'b', 'e', 'e', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'b', 'e', 'e')",P,0.0
"((5, 1), 'b', 'e', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'e', 'b', 'e', 'e')",L,-29.562299999999997
"((5, 1), 'b', 'e', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'e', 'b', 'e', 'e')",R,9.999999999999977
"((5, 1), 'b', 'e', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'e', 'b', 'e', 'e')",P,0.0
"((5, 1), 'e', 'b', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'e', 'e', 'e', 'b')",L,9.999999999999977
"((5, 1), 'e', 'b', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'e', 'e', 'e', 'b')",R,0.0
"((5, 1), 'e', 'b', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'e', 'e', 'e', 'b')",P,0.0
"((5, 1), 'e', 'b', 'e', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'b', 'e', 'e')",L,-29.7
"((5, 1), 'e', 'b', 'e', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'b', 'e', 'e')",R,9.999999999999977
"((5, 1), 'e', 'b', 'e', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'b', 'e', 'e')",P,0.0
"((5, 2), 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'e')",L,9.999999999999977
"((5, 2), 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'e')",R,0.0
"((5, 2), 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'e')",P,0.0
"((5, 1), 'e', 'e', 'b', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'e', 'b', 'e', 'e')",L,-29.311155171986048
"((5, 1), 'e', 'e', 'b', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'e', 'b', 'e', 'e')",R,9.999999999999977
"((5, 1), 'e', 'e', 'b', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'e', 'b', 'e', 'e')",P,0.0
"((5, 2), 'e', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'e')",L,9.999999999999977
"((5, 2), 'e', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'e')",R,0.0
"((5, 2), 'e', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'e')",P,0.0
"((5, 2), 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'e')",L,9.999999999999977
"((5, 2), 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'e')",R,0.0
"((5, 2), 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'e')",P,0.0
"((5, 2), 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e')",L,9.999999999999977
"((5, 2), 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e')",R,0.0
"((5, 2), 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e')",P,0.0
"((5, 1), 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'e', 'b', 'e')",L,9.999999999999977
"((5, 1), 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'e', 'b', 'e')",R,0.0
"((5, 1), 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'e', 'b', 'e')",P,0.0
"((5, 0), 'e', 'b', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'e', 'e', 'e', 'b')",L,9.999999999999977
"((5, 0), 'e', 'b', 'e', 'e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'e', 'e', 'e', 'b')",R,0.0
